"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
2023-06-01,132,yandex,cpc,freemium,21654,90,21,1331743
2023-06-01,97,yandex,cpc,prof-frontend,57138,71,10,1077159
2023-06-01,85,yandex,cpc,prof-python,33026,59,8,674606
2023-06-01,99,vk,cpc,prof-python,2028,45,7,588004
2023-06-01,37,yandex,cpc,base-python,12524,25,8,547928
2023-06-01,130,vk,cpc,freemium-frontend,3160,53,6,343017
2023-06-01,64,yandex,cpc,prof-java,29490,39,4,335087
2023-06-01,54,yandex,cpc,base-frontend,18061,39,3,268515
2023-06-01,25,yandex,cpc,prof-professions-brand,4818,19,4,230307
2023-06-20,4,telegram,cpp,base-java,0,1,1,151192
2023-06-01,6,yandex,cpc,dod-php,5964,2,1,150255
2023-06-01,17,yandex,cpc,prof-data-analytics,10086,12,1,144244
2023-06-01,4,yandex,cpc,base-professions-retarget,151,3,1,134100
2023-06-25,110,admitad,cpa,admitad,0,1,1,134100
2023-06-01,67,vk,cpc,freemium-python,980,29,2,115086
